payment_id,host_id,guest_id,payment_date,amount_paid
47,1,61,2010-01-25,25.00000
48,2,62,2018-01-25,32.00000
49,3,63,2014-02-25,36.50000
50,4,64,2018-02-25,42.50000
51,5,65,2013-03-25,45.00000
52,6,66,2014-03-25,50.00000
53,7,67,2020-03-25,65.00000
54,8,68,2022-03-25,68.50000
55,9,69,2011-04-25,75.00000
56,10,70,2013-04-25,82.50000
57,11,71,2019-04-25,90.00000
58,12,72,2023-04-25,95.40000
59,13,73,2025-04-25,100.00000
60,14,74,2012-05-25,120.00000
61,15,75,2014-05-25,125.00000
62,16,76,2016-06-25,130.00000
63,17,77,2017-06-25,220.00000
64,18,78,2020-06-25,350.00000
65,19,79,2021-06-25,400.00000
66,20,80,2024-06-25,450.00000
