id,start_date,end_date,availability_status,minimum_stay,maximum_stay
1,2025-05-10,2025-05-12,available,3,5
2,2025-06-12,2025-06-14,available,4,6
3,2025-04-09,2025-04-12,unavailable,6,8
4,2025-09-07,2025-09-09,available,8,9
5,2025-02-11,2025-02-13,unavailable,4,7
6,2025-03-16,2025-03-18,available,2,5
7,2025-01-11,2025-01-13,available,1,3
8,2025-02-19,2025-02-21,"unavailable ",9,10
9,2025-07-07,2025-07-10,"unavailable ",5,8
10,2025-08-13,2025-08-15,available,3,6
11,2025-03-10,2025-03-13,available,8,9
12,2025-10-08,2025-10-11,"unavailable ",2,7
13,2025-11-13,2025-11-15,available,6,8
14,2025-01-16,2025-01-19,available,9,11
15,2025-05-17,2025-05-19,unavailable,2,5
16,2025-06-18,2025-06-20,"available ",5,8
17,2025-03-09,2025-03-11,unavailable,7,9
18,2025-12-10,2025-12-13,available,8,10
19,2025-08-08,2025-08-14,unavailable,1,4
20,2025-05-21,2025-05-24,available,9,12
