id,provider_name,coverage_type,coverage_period
1,"StayAlert Insurance ","Outdoor property damage ","2025-03-04 to 2027-03-01"
2,PeacefulNest,"Structural Damage ","2025-06-10 to 2027-06-03"
3,SafeHood,"Indoor property damage ","2025-09-12 to 2027-09-02"
4,"Comfort Guard","Water Damage","2025-02-10 to 2027-02-01"
5,SecureHome,"Rental income loss","2025-10-10 to 2027-10-07"
6,AirHaven,"Fire Damage","2025-01-02 to 2027-01-02"
7,"Protect Shield","Liability and Theft","2025-07-08 to 2027-07-09"
8,"Alert Cover","Residence Damage ","2025-03-12 to 2027-03-14"
9,"Urban Ease","Emergency coverage ","2025-04-01 to 2027-04-07"
10,"Suburban Host","Flood coverage ","2025-11-11 to 2027-11-08"
11,"Cozy Nest","Personal Injury","2025-04-09 to 2027-04-13"
12,"Quick Scoop Insurance","Flood Damage ","2025-08-08 to 2027-08-08"
13,"Flexi Cover","Electrical Damage","2025-05-09 to 2027-05-02"
14,"Safe Guard","Pet Damage Protection","2025-06-19 to 2027-06-15"
15,"Wise Harbor Protection","Appliances coverage ","2025-12-03 to 2027-12-08"
